text,label
a little throwback with my favourite person water wall ,0
glam on user yesterday for kcon makeup using user in featherette ,7
democracy plaza in the wake of a stunning outcome decision nbc news ,11
then amp now vilo walt thisney magic kingdom ,0
who never a galaxy far far away ,2
dinner in fla tonight pan seared salmon over couscous veggie salad yum dinner florida salmon ,1
it is my fav seniors last game congrats on beating west west salem ,8
i got to to go formal with my best friend phi mu at jsu ,0
because i miss my little homies throwback cousinlove indiana university ,13
birthday kisses mathison wisconsin ,9
great time in tuscaloosa with my girl bryant denny stadium ,9
a seguir aprendiendo del mundo de las berries john f kennedy international airport jfk in queens ny ny ,16
 livinginparathise ramada plaza beach resort ,1
 in order for your life to be great you must first learn to appreciate it ny ,11
these girls seniors memories werarab the loft ,0
sully has his own beach style yep cowboy boots on the beach ,0
who cares that it is libra season i am still celebrating ti tiday ,19
i love my job decorah iowa ,0
because more days echo beach ,1
we did not stand a chance at all user coffeebeandnce tower records ,7
super night rosen shingle creek hotel amp convention center ,19
when the sun hit you but you just still cute ,1
acesnewyork is the place to be tonight aces new york ,4
slamm st saturdays wid djkub sweet lounge ,6
have not posted in awhile should probably start up again three day weekend before heading ,14
my dad named our cat stoop wanda speaker box wtf ,2
nawwwll he said she belongs on a box of fruit loops ,2
how i like my coffee strong i will be wired all day onlyused creamers strong cupofjoe ,2
 thisneyonice daretodream rapunzel cross insurance arena ,13
brunch after ballet class on a beautiful saturday with my dear friend le neuf caf ,5
w h i s k e y user whiskey kitchen ,10
 newuscitizen us citizenship and immigration services ,0
so much fun with these amazing girls today shooing for ssbeautyco ,1
everything about this weekend hogvibes fayetteville arkansas ,15
good night everyone trenton new jersey ,5
 miles sunshine and smiles palosverdes i you california holidays rolling hills estates ,0
back at it university of north carolina wilmington campus trask ,6
she only came for the nachos and cheese that is why she is my big ,0
happy birthday madress can not wait for led zep tomorrow here is a cool pic of you drinking ,13
the backyard one of my favorite places nature newengland swampscott massachussetts ,5
a plus shit on my haters produced by user somh link to full song in bio baton ,15
one of the best parts of my job i get to play with all things pretty weddingdress ,3
missing my home away from home with this guy hilton head island south carolina ,12
it is been a great four years amp i will forever miss preforming under the friday night lights bo rein ,7
thankful for this lovely gem believe me you have wonderful people surrounding you you just ,8
today was a good day say hello to the new bae i am ready for chapman bmw on camelback ,1
i asked e if this looked like a ufo the san antonio river walk ,2
 at user in tustin ca ,1
we tried too many times to not post this peosta iowa ,2
 tis the season to be jolly treat your friends family or loved ones to one of our holiday ,7
thanks for making sure i never dance alone jr murphy s ,0
ready to eat omg peruvianfood lunchtime meeting birthday miami florida ,1
making strides jones beach boardwalk ,3
